image_id,capture_id,camera_id,image_path,timestamp,width,height,blur_score,exposure_status,annotation_status
S001_SE01_CAP000022_CAM01,CAP000022,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000022_CAM01.jpg,2026-08-28T13:47:59.302+00:00,1920,1080,256.0,auto,unannotated
S001_SE01_CAP000022_CAM02,CAP000022,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000022_CAM02.jpg,2026-08-28T13:47:59.290+00:00,1920,1080,257.35,auto,unannotated
S001_SE01_CAP000023_CAM01,CAP000023,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000023_CAM01.jpg,2026-08-28T13:48:02.355+00:00,1920,1080,244.81,auto,unannotated
S001_SE01_CAP000023_CAM02,CAP000023,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000023_CAM02.jpg,2026-08-28T13:48:02.399+00:00,1920,1080,256.31,auto,unannotated
S001_SE01_CAP000024_CAM01,CAP000024,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000024_CAM01.jpg,2026-08-28T13:48:05.397+00:00,1920,1080,251.76,auto,unannotated
S001_SE01_CAP000024_CAM02,CAP000024,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000024_CAM02.jpg,2026-08-28T13:48:05.357+00:00,1920,1080,269.43,auto,unannotated
S001_SE01_CAP000025_CAM01,CAP000025,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000025_CAM01.jpg,2026-08-28T13:48:08.059+00:00,1920,1080,250.95,auto,unannotated
S001_SE01_CAP000025_CAM02,CAP000025,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000025_CAM02.jpg,2026-08-28T13:48:08.024+00:00,1920,1080,272.95,auto,unannotated
S001_SE01_CAP000026_CAM01,CAP000026,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000026_CAM01.jpg,2026-08-28T13:48:20.565+00:00,1920,1080,219.32,auto,unannotated
S001_SE01_CAP000026_CAM02,CAP000026,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000026_CAM02.jpg,2026-08-28T13:48:20.559+00:00,1920,1080,207.79,auto,unannotated
S001_SE01_CAP000027_CAM01,CAP000027,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000027_CAM01.jpg,2026-08-28T13:48:26.526+00:00,1920,1080,212.51,auto,unannotated
S001_SE01_CAP000027_CAM02,CAP000027,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000027_CAM02.jpg,2026-08-28T13:48:26.549+00:00,1920,1080,212.19,auto,unannotated
S001_SE01_CAP000028_CAM01,CAP000028,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000028_CAM01.jpg,2026-08-28T13:48:29.454+00:00,1920,1080,173.51,auto,unannotated
S001_SE01_CAP000028_CAM02,CAP000028,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000028_CAM02.jpg,2026-08-28T13:48:29.416+00:00,1920,1080,213.2,auto,unannotated
S001_SE01_CAP000029_CAM01,CAP000029,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000029_CAM01.jpg,2026-08-28T13:48:32.381+00:00,1920,1080,198.44,auto,unannotated
S001_SE01_CAP000029_CAM02,CAP000029,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000029_CAM02.jpg,2026-08-28T13:48:32.359+00:00,1920,1080,58.2,auto,unannotated
S001_SE01_CAP000030_CAM01,CAP000030,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000030_CAM01.jpg,2026-08-28T13:48:35.303+00:00,1920,1080,224.8,auto,unannotated
S001_SE01_CAP000030_CAM02,CAP000030,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000030_CAM02.jpg,2026-08-28T13:48:35.285+00:00,1920,1080,214.5,auto,unannotated
